Product Name,Total Profit,%Profit Contribution,%age Cummulative Profit Contribution
Proseware High-Performance Business-Class Laser Fax X200 Grey,28659,0.0008,0.689
"Adventure Works 40"" LCD HDTV M690 White",28653,0.0008,0.6898
Litware Home Theater System 5.1 Channel M510 Black,28637,0.0008,0.6906
Proseware High-Performance Business-Class Laser Fax X200 White,28631,0.0008,0.6914
A. Datum Full Frame Digital Camera X300 Pink,28625,0.0008,0.6922
Adventure Works Laptop8.9 E0890 Silver,28573,0.0008,0.693
Contoso SLR Camera M143 Silver,28572,0.0008,0.6938
A. Datum Rangefinder Digital Camera X200 Silver,28537,0.0008,0.6946
"Contoso SLR Camera 35"" M358 Pink",28523,0.0008,0.6954
SV Car Video TFT7 M7000 Black,28476,0.0008,0.6962
Contoso 8GB Clock & Radio MP3 Player X850 Black,28471,0.0008,0.697
"Contoso SLR Camera 35"" M358 Silver",28449,0.0008,0.6978
"Adventure Works 20"" CRT TV E15 White",28441,0.0008,0.6986
A. Datum Consumer Digital Camera E100 Silver,28417,0.0008,0.6994
WWI Desktop PC3.0 M0300 Black,28356,0.0008,0.7002
SV Car Video LCD7W M7080 Brown,28291,0.0008,0.701
"Fabrikam SLR Camera 35"" M358 Green",28246,0.0008,0.7018
A. Datum Full Frame Digital Camera X300 Orange,28057,0.0008,0.7026
The Phone Company Touch Screen Phones Capacitive M908 Gold,27930,0.0008,0.7034
WWI Desktop PC1.60 E1600 Red,27885,0.0008,0.7041
The Phone Company Smart phones Expert M400 Pink,27558,0.0008,0.7049
Fabrikam Laptop12W M2080 Silver,27390,0.0008,0.7057
A. Datum SLR Camera M140 Pink,27368,0.0008,0.7065
Contoso Home Theater System 4.1 Channel M1420 Brown,27285,0.0008,0.7072
Proseware Professional Quality Plain-Paper Fax and Copier X100 White,27210,0.0008,0.708
Fabrikam Budget Movie-Maker 2/3'' 17mm E100 Black,27177,0.0008,0.7088
Proseware Projector 720p LCD56 White,27063,0.0008,0.7095
Contoso Projector 720p M620 Black,26989,0.0008,0.7103
"Adventure Works 26"" 720p LCD HDTV M140 White",26954,0.0008,0.711
Fabrikam Laptop8.9 E8002 Red,26940,0.0008,0.7118
Proseware Projector 480p DLP12 Silver,26841,0.0008,0.7125
Proseware Office Jet All-in-One Printer M500 Grey,26838,0.0008,0.7133
"The Phone Company Touch Screen Phones 26-1.4"" M250 Grey",26763,0.0008,0.714
"Fabrikam Home and Vacation Moviemaker 1"" 25mm M400 Blue",26750,0.0008,0.7148
A. Datum Interchangeable lens Non-SLR Digital Camera X250 Orange,26566,0.0007,0.7155
"Adventure Works 20"" LCD HDTV M120 Silver",26069,0.0007,0.7163
WWI Projector 480p LCD12 Black,26006,0.0007,0.717
The Phone Company PDA Handheld 3.5 inch M610 Silver,25946,0.0007,0.7177
Proseware Laptop19W X910 White,25844,0.0007,0.7185
Contoso Home Theater System 2.1 Channel E1220 Black,25809,0.0007,0.7192
A. Datum Bridge Digital Camera M300 Grey,25793,0.0007,0.7199
The Phone Company Touch Screen Phones - CRT M11 Grey,25736,0.0007,0.7206
Litware Home Theater System 4.1 Channel M413 Black,25727,0.0007,0.7214
Contoso Home Theater System 4.1 Channel M1420 Silver,25606,0.0007,0.7221
Proseware Ink Jet All in one M300 Grey,25540,0.0007,0.7228
Contoso DVD 14-Inch Player Portable L100 Black,25471,0.0007,0.7235
Litware Home Theater System 4.1 Channel M412 Silver,25448,0.0007,0.7242
Contoso DVD 14-Inch Player Portable L100 Silver,25437,0.0007,0.7249
Contoso Rubberized Skin BlackBerry E100 Black,25382,0.0007,0.7257
Contoso DVD 15-Inch Player Portable L200 White,25322,0.0007,0.7264
Fabrikam Laptop13.3 M3000 Red,25303,0.0007,0.7271
"Adventure Works 20"" Analog CRT TV E45 Brown",25274,0.0007,0.7278
A. Datum Full Frame Digital Camera X300 Black,25241,0.0007,0.7285
The Phone Company Sharp Touch Screen Phones M910 Gold,25210,0.0007,0.7292
SV Car Video LCD7W M7082 Brown,25176,0.0007,0.7299
Fabrikam Laptop13.3W M3080 Red,25159,0.0007,0.7306
"A. Datum SLR Camera 35"" X358 Pink",25093,0.0007,0.7313
Adventure Works Desktop PC2.30 MD230 Black,25049,0.0007,0.732
The Phone Company Smart phones 160x160 M26 Black,25047,0.0007,0.7327
The Phone Company PDA GPS Phone 3.5 inch M910 Black,25025,0.0007,0.7334
The Phone Company Smart phones Expert M400 Black,25012,0.0007,0.7341
A. Datum Point Shoot Digital Camera M500 Silver Grey,24951,0.0007,0.7348
A. Datum Rangefinder Digital Camera X200 Pink,24919,0.0007,0.7355
The Phone Company Touch Screen Phones Capacitive M908 Black,24919,0.0007,0.7362
The Phone Company PDA Wifi 4.7-inch L290 Black,24909,0.0007,0.7369
Fabrikam Social Videographer 1/2'' 3mm E300 Grey,24875,0.0007,0.7376
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",24875,0.0007,0.7383
Proseware High Speed Laser M2000 White,24705,0.0007,0.739
WWI Projector 1080p DLP86 Black,24474,0.0007,0.7397
SV Car Video LCD7 M7001 Silver,24429,0.0007,0.7404
The Phone Company Sharp Touch Screen Phones M910 Black,24420,0.0007,0.7411
The Phone Company Touch Screen Phones 4-Wire/On-wall M302 Black,24383,0.0007,0.7418
Fabrikam Independent Filmmaker 1'' 25mm X400 Black,24381,0.0007,0.7425
Fabrikam Budget Moviemaker 1/3'' 8.5mm E200 Black,24278,0.0007,0.7431
The Phone Company Touch Screen Phones 5-Wire/On-wall M508 Gold,24276,0.0007,0.7438
"Fabrikam SLR Camera 35"" M358 Silver Grey",24194,0.0007,0.7445
Contoso Touch Screen Phones Infrared M901 Black,24192,0.0007,0.7452
A. Datum Bridge Digital Camera M300 Pink,24185,0.0007,0.7459
Litware Home Theater System 2.1 Channel E211 Black,24141,0.0007,0.7465
Contoso Home Theater System 4.1 Channel M1410 White,24072,0.0007,0.7472
A. Datum SLR-like Digital Camera M400 Black,23989,0.0007,0.7479
Contoso SLR Camera M143 Grey,23972,0.0007,0.7486
Fabrikam SLR Camera M147 Grey,23920,0.0007,0.7492
Headphone Adapter for Contoso Phone E130 Silver,23849,0.0007,0.7499
WWI Screen 100in M1609 Black,23802,0.0007,0.7506
A. Datum Bridge Digital Camera M300 Orange,23738,0.0007,0.7512
Litware Home Theater System 5.1 Channel M514 Black,23712,0.0007,0.7519
Contoso Home Theater System 2.1 Channel E1200 Black,23679,0.0007,0.7526
The Phone Company PDA Handheld 4.7 inch L650 Silver,23600,0.0007,0.7532
The Phone Company Smart phones 160x160 M26 Gold,23597,0.0007,0.7539
Contoso Touch Stylus Pen E150 Red,23596,0.0007,0.7546
The Phone Company Touch Screen Phones Infrared M901 Gold,23582,0.0007,0.7552
"Fabrikam SLR Camera 35"" M358 Blue",23503,0.0007,0.7559
WWI Laptop12 M0120 Black,23496,0.0007,0.7565
Proseware Wireless Photo All-in-One Printer M390 Grey,23390,0.0007,0.7572
Litware Home Theater System 4.1 Channel M410 Brown,23322,0.0007,0.7579
"Adventure Works 19"" Portable LCD HDTV M110 Black",23315,0.0007,0.7585
Cigarette Lighter Adapter for Contoso Phones E110 Black,23157,0.0007,0.7592
Litware Home Theater System 5.1 Channel M510 Brown,23152,0.0007,0.7598
Fabrikam Business Videographer 1/2'' 3mm M500 Grey,23144,0.0007,0.7605
"Adventure Works 19"" Portable LCD HDTV M110 Silver",23130,0.0006,0.7611
The Phone Company Touch Screen Phones SAW/On-wall M806 Grey,23112,0.0006,0.7618
A. Datum Advanced Digital Camera M300 Grey,23086,0.0006,0.7624
"Adventure Works 20"" CRT TV E15 Black",22944,0.0006,0.7631
The Phone Company Smart phones 6-LINE SCREEN M21 Gold,22899,0.0006,0.7637
Proseware Color Ink Jet Fax with 5.8 GHz Cordless Handset X250 Grey,22876,0.0006,0.7643
Fabrikam Home and Vacation Moviemaker 1/2'' 3mm M300 White,22759,0.0006,0.765
Proseware LCD20 M200 Black,22732,0.0006,0.7656
Contoso Home Theater System 5.1 Channel M1510 Silver,22659,0.0006,0.7663
Litware Home Theater System 5.1 Channel M513 Brown,22563,0.0006,0.7669
SV Car Video TFT7 M7002 Brown,22556,0.0006,0.7675
Proseware LCD22 M2000 White,22471,0.0006,0.7682
SV DVD 14-Inch Player Portable L100 Black,22424,0.0006,0.7688
"Adventure Works 20"" LCD HDTV M120 Brown",22406,0.0006,0.7694
SV DVD 14-Inch Player Portable L100 Silver,22307,0.0006,0.77
Litware Home Theater System 2.1 Channel E210 Brown,22257,0.0006,0.7707
Contoso Projector 720p M621 White,22201,0.0006,0.7713
A. Datum All in One Digital Camera M200 Green,22088,0.0006,0.7719
SV Car Video TFT6.2W E6282 Brown,22056,0.0006,0.7725
The Phone Company Finger Touch Screen Phones M30 Gold,21948,0.0006,0.7732
"Adventure Works 19"" Portable LCD HDTV M110 White",21912,0.0006,0.7738
WWI Laptop8.9 E0089 White,21911,0.0006,0.7744
WWI Desktop PC2.30 M2300 Brown,21880,0.0006,0.775
Proseware High-Performance Business-Class Laser Fax X200 Black,21880,0.0006,0.7756
Adventure Works Desktop PC2.33 XD233 White,21858,0.0006,0.7762
"The Phone Company Pen Touch Screen Phones-2.6"" M320 Black",21807,0.0006,0.7768
Adventure Works Desktop PC2.33 XD233 Black,21798,0.0006,0.7775
A. Datum Compact Digital Camera M200 Grey,21737,0.0006,0.7781
Fabrikam Budget Moviemaker 1/2'' 3mm E300 White,21614,0.0006,0.7787
Proseware Projector 480p DLP12 Black,21580,0.0006,0.7793
A. Datum Consumer Digital Camera E100 Azure,21510,0.0006,0.7799
The Phone Company Touch Screen Phones SAW/Built-in M801 Grey,21470,0.0006,0.7805
Proseware Projector 480p LCD12 Black,21468,0.0006,0.7811
Contoso Home Theater System 2.1 Channel E1200 Silver,21439,0.0006,0.7817
Fabrikam Social videographer 1'' 25mm E400 Black,21371,0.0006,0.7823
A. Datum Point Shoot Digital Camera M500 Pink,21364,0.0006,0.7829
"A. Datum SLR Camera 35"" M358 Silver Grey",21358,0.0006,0.7835
A. Datum Super-zoom Digital Camera X300 Black,21330,0.0006,0.7841
Contoso Projector 480p M480 Silver,21298,0.0006,0.7847
Contoso Home Theater System 5.1 Channel M1510 Black,21209,0.0006,0.7853
Contoso DVD Recorder L230 Grey,21133,0.0006,0.7859
WWI Desktop PC1.80 E1800 Brown,21120,0.0006,0.7865
SV Car Video LCD9.2W X9281 Silver,21077,0.0006,0.7871
"Adventure Works 32"" LCD HDTV M130 Brown",21053,0.0006,0.7877
Contoso Home Theater System 2.1 Channel M1210 Black,20825,0.0006,0.7882
Contoso Sharp Touch Screen Phones M910 Black,20783,0.0006,0.7888
A. Datum Point Shoot Digital Camera M500 Orange,20725,0.0006,0.7894
Contoso SLR Camera X145 Pink,20722,0.0006,0.79
Proseware Screen 113in X1609 Silver,20718,0.0006,0.7906
SV Car Video AM/FM E1001 Black,20709,0.0006,0.7912
A. Datum SLR Camera M142 Orange,20687,0.0006,0.7917
Proseware LCD22W M2001 White,20566,0.0006,0.7923
The Phone Company PDA Palm 4.7 inch L850 Black,20523,0.0006,0.7929
Proseware Office Jet Wireless All-in-One Inkjet Printer M600 Grey,20456,0.0006,0.7935
"A. Datum SLR Camera 35"" M358 Orange",20396,0.0006,0.794
Proseware Projector 480p LCD12 White,20365,0.0006,0.7946
Contoso SLR Camera M142 Black,20338,0.0006,0.7952
The Phone Company PDA Phone 3.7 inches M340 Black,20324,0.0006,0.7958
Contoso Laptop Keyboard X105 Silver,20311,0.0006,0.7963
A. Datum Point n' Shoot Digital Camera M500 Grey,20287,0.0006,0.7969
The Phone Company PDA Phone Unlocked 4.7 inches L550 Silver,20211,0.0006,0.7975
Proseware Slim-Design Fax Machine with Answering System X180 Green,20080,0.0006,0.798
Contoso Home Theater System 4.1 Channel M1410 Silver,20066,0.0006,0.7986
"The Phone Company Touch Screen Phones 26-2.2"" M200 Grey",20039,0.0006,0.7992
Fabrikam SLR Camera M150 Orange,19966,0.0006,0.7997
"Fabrikam SLR Camera 35"" M358 Grey",19935,0.0006,0.8003
The Phone Company Smart phones 8 GB of Memory M400 Gold,19925,0.0006,0.8008
The Phone Company Touch Screen Phones 4-Wire/On-wall M302 Gold,19813,0.0006,0.8014
The Phone Company Touch Screen Phones 5-Wire/On-wall M508 Grey,19812,0.0006,0.8019
A. Datum Consumer Digital Camera E100 Green,19787,0.0006,0.8025
Fabrikam SLR Camera M147 Silver,19761,0.0006,0.8031
A. Datum Interchangeable lens Non-SLR Digital Camera X250 Green,19667,0.0006,0.8036
A. Datum Rangefinder Digital Camera X200 Orange,19654,0.0006,0.8042
The Phone Company Smart phones Expert M400 White,19630,0.0006,0.8047
"Fabrikam SLR Camera 35"" M358 Silver",19610,0.0006,0.8053
The Phone Company Smart phones Unlocked International M800 White,19582,0.0006,0.8058
The Phone Company Touch Screen Phones Infrared M901 Black,19496,0.0005,0.8064
WWI LCD20W M250 Black,19375,0.0005,0.8069
The Phone Company PDA Phone 3.5 inches M320 Black,19371,0.0005,0.8075
Contoso Touch Screen Phones Capacitive M908 Black,19351,0.0005,0.808
Contoso Home Theater System 2.1 Channel E1220 White,19334,0.0005,0.8085
Proseware LCD19W M100 Black,19324,0.0005,0.8091
WWI 2GB Pulse Smart pen M100 Silver,19308,0.0005,0.8096
Litware Home Theater System 2.1 Channel E212 Black,19275,0.0005,0.8102
SV DVD 7-Inch Player Portable E200 Black,19254,0.0005,0.8107
Contoso 8GB Clock & Radio MP3 Player X850 Silver,19233,0.0005,0.8112
Proseware Laser Jet All in one X300 Grey,19177,0.0005,0.8118
A. Datum SLR-like Digital Camera M400 Azure,19149,0.0005,0.8123
Contoso SLR Camera M144 Silver Grey,19135,0.0005,0.8129
SV Car Video LCD7 M7002 Silver,19122,0.0005,0.8134
The Phone Company Smart phones Unlocked International M800 Pink,19097,0.0005,0.8139
The Phone Company Touch Screen Phones SAW/On-wall M806 Black,19053,0.0005,0.8145
A. Datum SLR Camera M141 Blue,19019,0.0005,0.815
WWI Projector 720p LCD56 Silver,19008,0.0005,0.8155
Proseware Laptop15.4W M518 Black,18965,0.0005,0.8161
SV Car Video TFT6.2W E6282 Black,18942,0.0005,0.8166
SV Car Video TFT6.2W E6281 Silver,18919,0.0005,0.8171
Litware Home Theater System 5.1 Channel M510 Silver,18911,0.0005,0.8177
Litware Home Theater System 7.1 Channel X711 Brown,18903,0.0005,0.8182
The Phone Company Smart phones 8 GB of Memory M400 Pink,18735,0.0005,0.8187
A. Datum Full Frame Digital Camera X300 Azure,18712,0.0005,0.8193
The Phone Company PDA Phone Unlocked 4.7 inches L550 Black,18632,0.0005,0.8198
A. Datum SLR Camera X142 Orange,18631,0.0005,0.8203
The Phone Company PDA Phone Unlocked 3.7 inches M510 White,18615,0.0005,0.8208
A. Datum Consumer Digital Camera M300 Orange,18599,0.0005,0.8213
WWI LCD19 E107 White,18580,0.0005,0.8219
"A. Datum SLR Camera 35"" M358 Gold",18577,0.0005,0.8224
A. Datum Consumer Digital Camera E100 Orange,18533,0.0005,0.8229
Proseware Wireless Photo All-in-One Printer M390 Black,18504,0.0005,0.8234
The Phone Company PDA Handheld 4.7 inch L650 White,18497,0.0005,0.824
Litware Home Theater System 4.1 Channel M410 Black,18483,0.0005,0.8245
WWI Projector 480p LCD12 White,18474,0.0005,0.825
A. Datum Super-zoom Digital Camera X300 Green,18458,0.0005,0.8255
SV DVD Recorder L220 White,18441,0.0005,0.826
Contoso Telephoto Conversion Lens X400 White,18394,0.0005,0.8265
Fabrikam Laptop12 M2000 White,18351,0.0005,0.8271
Proseware Screen 100in M1609 Silver,18313,0.0005,0.8276
Contoso Projector 480p M480 Black,18223,0.0005,0.8281
"The Phone Company Touch Screen Phones 26-1.4"" M250 Gold",18222,0.0005,0.8286
Proseware Photo Inkjet Printer M100 Grey,18194,0.0005,0.8291
Adventure Works LCD22 M200 Black,18177,0.0005,0.8296
SV DVD Recorder L200 Black,18129,0.0005,0.8301
A. Datum Consumer Digital Camera M300 Pink,18124,0.0005,0.8306
A. Datum Compact Digital Camera M200 Orange,18100,0.0005,0.8311
The Phone Company PDA Phone 3.7 inches M340 Silver,18034,0.0005,0.8317
Fabrikam Laptop10.1 M0101 Silver,17972,0.0005,0.8322
WWI 2GB Pulse Smart pen M100 Blue,17836,0.0005,0.8327
Litware Home Theater System 2.1 Channel E212 Brown,17820,0.0005,0.8332
A. Datum SLR Camera M136 Silver,17812,0.0005,0.8337
Contoso DVD Recorder L200 Black,17787,0.0005,0.8342
The Phone Company PDA Palm 3.5 inch M810 Black,17783,0.0005,0.8347
Fabrikam Laptop12 M2001 Silver,17734,0.0005,0.8352
The Phone Company Smart phones Expert M400 Gold,17734,0.0005,0.8357
"The Phone Company Touch Screen Phone 1600 TFT-1.4"" L250 Gold",17723,0.0005,0.8362
Contoso Home Theater System 4.1 Channel M1400 Black,17705,0.0005,0.8367
Proseware Office Jet All-in-One Printer M500 White,17681,0.0005,0.8371
Proseware 23ppm Laser Printer with Wireless and Wired Network Interfaces M680 White,17657,0.0005,0.8376
Proseware Office Jet All-in-One Printer M500 Black,17583,0.0005,0.8381
WWI 2GB Pulse Smart pen M100 Black,17549,0.0005,0.8386
Contoso Home Theater System 5.1 Channel M1510 Brown,17521,0.0005,0.8391
Fabrikam SLR Camera M146 Black,17509,0.0005,0.8396
A. Datum Consumer Digital Camera E100 Pink,17508,0.0005,0.8401
Fabrikam Laptop14.1 E4101 Red,17485,0.0005,0.8406
Contoso Phone Tough Skin Case E140 Pink,17437,0.0005,0.8411
A. Datum Rangefinder Digital Camera X200 Green,17404,0.0005,0.8416
Proseware Laser Jet Color Printer X300 Black,17299,0.0005,0.8421
The Phone Company Pen Touch Screen Phones M320 Grey,17289,0.0005,0.8425
Contoso Screen 85in E085 White,17288,0.0005,0.843
"Adventure Works 37"" 1080p LCD HDTV M150W White",17272,0.0005,0.8435
Fabrikam SLR Camera X149 Pink,17155,0.0005,0.844
Proseware Mobile Receipt and Document Scanner M200 Grey,17099,0.0005,0.8445
The Phone Company Smart phones 8 GB of Memory M400 Black,17077,0.0005,0.845
A. Datum Full Frame Digital Camera X300 Grey,16981,0.0005,0.8454
Litware Home Theater System 2.1 Channel E211 Silver,16973,0.0005,0.8459
A. Datum SLR Camera M135 Black,16964,0.0005,0.8464
Proseware LCD20W M230 White,16952,0.0005,0.8469
Proseware Screen 85in E1010 Silver,16867,0.0005,0.8473
Proseware Office Jet Wireless All-in-One Inkjet Printer M600 Black,16854,0.0005,0.8478
A. Datum Slim Digital Camera M180 Azure,16781,0.0005,0.8483
"Adventure Works 20"" Analog CRT TV E45 Silver",16762,0.0005,0.8488
Adventure Works Laptop16 M1600 Black,16757,0.0005,0.8492
The Phone Company Touch Screen Phones SAW/On-wall M806 Gold,16675,0.0005,0.8497
"Contoso SLR Camera 35"" X358 Pink",16664,0.0005,0.8502
"Adventure Works 13"" Color TV E25 Silver",16653,0.0005,0.8506
SV Car Video LCD7 M7003 Silver,16515,0.0005,0.8511
Contoso DVD 14-Inch Player Portable L100 White,16506,0.0005,0.8516
Proseware Ink Jet Instant PDF Sheet-Fed Scanner M300 White,16403,0.0005,0.852
A. Datum Point n' Shoot Digital Camera M500 Azure,16382,0.0005,0.8525
Contoso Home Theater System 2.1 Channel E1200 White,16361,0.0005,0.8529
WWI Desktop PC1.80 E1801 Silver,16328,0.0005,0.8534
SV Car Video TFT6.2W E6280 Black,16304,0.0005,0.8539
The Phone Company Touch Screen Phones - LCD M12 Grey,16283,0.0005,0.8543
Proseware Wireless Photo All-in-One Printer M390 White,16244,0.0005,0.8548
Litware Home Theater System 2.1 Channel E210 Silver,16228,0.0005,0.8552
The Phone Company PDA Palm 3.7 inch M830 Black,16211,0.0005,0.8557
Contoso Touch Stylus Pen E150 Black,16195,0.0005,0.8561
Contoso Home Theater System 5.1 Channel M1500 Brown,16097,0.0005,0.8566
Contoso Touch Stylus Pen E150 White,16086,0.0005,0.857
Proseware LCD20 M200 White,16074,0.0005,0.8575
Adventure Works Desktop PC2.33 XD233 Brown,16035,0.0005,0.8579
Contoso Projector 1080p X981 Black,15967,0.0004,0.8584
Contoso DVD 7-Inch Player Portable E200 White,15960,0.0004,0.8588
Proseware Slim-Design Fax Machine with Answering System X180 White,15928,0.0004,0.8593
SV DVD Recorder L230 Grey,15911,0.0004,0.8597
"Proseware Color Ink Jet Fax, Copier, Phone M250 Green",15882,0.0004,0.8602
A. Datum Interchangeable lens Non-SLR Digital Camera X250 Grey,15770,0.0004,0.8606
Proseware Ink Jet All in one M300 White,15754,0.0004,0.8611
The Phone Company Smart phones 160x160 M26 Pink,15744,0.0004,0.8615
A. Datum Consumer Digital Camera M300 Azure,15724,0.0004,0.862
"Adventure Works 52"" LCD HDTV X590 Brown",15635,0.0004,0.8624
Proseware Slim-Design Fax Machine with Answering System X180 Grey,15548,0.0004,0.8628
Adventure Works LCD20W M240 Black,15491,0.0004,0.8633
Contoso In-Line Coupler E180 Silver,15471,0.0004,0.8637
Headphone Adapter for Contoso Phone E130 Black,15469,0.0004,0.8641
The Phone Company Smart phones Unlocked International M800 Black,15448,0.0004,0.8646
Adventure Works LCD19W M100 Black,15421,0.0004,0.865
A. Datum Ultra Compact Digital Camera M190 Orange,15406,0.0004,0.8654
Proseware Screen 100in M1609 White,15393,0.0004,0.8659
Proseware Ink Jet Instant PDF Sheet-Fed Scanner M300 Grey,15296,0.0004,0.8663
Proseware Office Jet Wireless All-in-One Inkjet Printer M600 White,15245,0.0004,0.8667
"Proseware Color Ink jet Fax, Copier, Phone M250 White",15233,0.0004,0.8672
The Phone Company Smart phones Unlocked M300 Pink,15216,0.0004,0.8676
Proseware Laser Jet All in one X300 White,15190,0.0004,0.868
SV Car Video AM/FM E1000 Brown,15154,0.0004,0.8684
SV Car Video LCD7 M7003 Black,15147,0.0004,0.8689
"The Phone Company Touch Screen Phones 26-2.2"" M200 Gold",15094,0.0004,0.8693
The Phone Company PDA Wifi 3.7-inch M250 White,15084,0.0004,0.8697
A. Datum Ultra Compact Digital Camera M190 Pink,15063,0.0004,0.8701
Proseware 23ppm Laser Printer with Wireless and Wired Network Interfaces M680 Grey,15047,0.0004,0.8706
Fabrikam Social Videographer 1'' 25mm E400 Grey,15007,0.0004,0.871
Contoso Screen 106in M060 Silver,14968,0.0004,0.8714
Fabrikam SLR Camera X148 Gold,14965,0.0004,0.8718
Fabrikam Laptop12 M2002 Red,14914,0.0004,0.8722
SV Car Video LCD7 M7001 Brown,14867,0.0004,0.8727
Fabrikam SLR Camera M149 Pink,14842,0.0004,0.8731
Litware Home Theater System 5.1 Channel M516 Brown,14786,0.0004,0.8735
Contoso 32GB Video MP3 Player M3200 White,14786,0.0004,0.8739
Contoso SLR Camera M146 Orange,14751,0.0004,0.8743
WWI Screen 125in M1611 Black,14748,0.0004,0.8747
SV DVD 15-Inch Player Portable L200 Silver,14672,0.0004,0.8751
Contoso Home Theater System 5.1 Channel M1540 Silver,14668,0.0004,0.8756
Contoso Screen 113in M251 White,14654,0.0004,0.876
SV DVD 9-Inch Player Portable M300 Black,14495,0.0004,0.8764
A. Datum All in One Digital Camera M200 Black,14483,0.0004,0.8768
Proseware Ink Jet Fax Machine E100 White,14458,0.0004,0.8772
Fabrikam Budget Moviemaker 1'' 25mm E400 Black,14440,0.0004,0.8776
A. Datum Compact Digital Camera M200 Green,14426,0.0004,0.878
SV Car Video TFT6.2W E6280 Silver,14411,0.0004,0.8784
Proseware Slim-Design Fax Machine with Answering System X180 Black,14340,0.0004,0.8788
Litware Home Theater System 2.1 Channel E212 Silver,14302,0.0004,0.8792
"The Phone Company Touch Screen Phones 26-2.2"" M200 Black",14278,0.0004,0.8796
A. Datum Full Frame Digital Camera X300 Silver Grey,14256,0.0004,0.88
SV Car Video AM/FM E1001 Brown,14206,0.0004,0.8804
Adventure Works Laptop12 M1201 Silver,14202,0.0004,0.8808
Proseware LCD24 X300 Black,14105,0.0004,0.8812
"Fabrikam Social Videographer 2/3"" 17mm E100 Blue",14042,0.0004,0.8816
Contoso Screen 80in E080 Silver,14015,0.0004,0.882
Proseware Laptop12 M210 Black,13969,0.0004,0.8824
The Phone Company Smart phones 6-LINE SCREEN M21 Grey,13945,0.0004,0.8828
The Phone Company Touch Screen Phones 4-Wire/On-wall M302 Grey,13924,0.0004,0.8832
Contoso Home Theater System 5.1 Channel M1520 Black,13741,0.0004,0.8836
Contoso Home Theater System 5.1 Channel M1500 Silver,13735,0.0004,0.8839
Contoso 32GB Video MP3 Player M3200 Orange,13692,0.0004,0.8843
A. Datum Ultra Compact Digital Camera M190 Silver,13687,0.0004,0.8847
Fabrikam Budget Movie-Maker 1/3'' 8.5mm E200 Black,13671,0.0004,0.8851
The Phone Company Touch Screen Phones SAW/Built-in M801 Black,13664,0.0004,0.8855
SV DVD 12-Inch Player Portable M400 Black,13658,0.0004,0.8859
Contoso Home Theater System 5.1 Channel M1540 Black,13579,0.0004,0.8862
WWI Desktop PC2.33 X2330 Brown,13531,0.0004,0.8866
Proseware Ink Jet Instant PDF Sheet-Fed Scanner M300 Black,13511,0.0004,0.887
WWI Laptop8.9 E0089 Black,13508,0.0004,0.8874
A. Datum Bridge Digital Camera M300 Azure,13508,0.0004,0.8878
The Phone Company PDA Wifi 3.7-inch M250 Silver,13503,0.0004,0.8881
WWI Screen 85in E1010 White,13459,0.0004,0.8885
Fabrikam Home and Vacation Moviemaker 1'' 25mm M400 Grey,13423,0.0004,0.8889
Contoso Home Theater System 2.1 Channel E1220 Brown,13399,0.0004,0.8893
Litware Home Theater System 2.1 Channel E210 Black,13300,0.0004,0.8896
The Phone Company Finger Touch Screen Phones M30 Black,13269,0.0004,0.89
Proseware LCD19 E1000 Black,13235,0.0004,0.8904
Proseware Screen 113in X1609 White,13216,0.0004,0.8908
Contoso Home Theater System 2.1 Channel M1230 White,13205,0.0004,0.8911
Contoso Screen 100in E010 Black,13200,0.0004,0.8915
Fabrikam Social Videographer 1'' 25mm E400 White,13151,0.0004,0.8919
Adventure Works LCD17W E203 White,13088,0.0004,0.8922
The Phone Company Smart phones without camera E100 Black,13088,0.0004,0.8926
The Phone Company Smart phones 6-LINE SCREEN M21 Pink,13028,0.0004,0.893
SV DVD 12-Inch Player Portable M400 Silver,13019,0.0004,0.8933
A. Datum All in One Digital Camera M200 Pink,13006,0.0004,0.8937
Fabrikam SLR Camera M150 Green,12977,0.0004,0.8941
Proseware Scan Jet Digital Flat Bed Scanner M300 Grey,12957,0.0004,0.8944
A. Datum Point Shoot Digital Camera M500 Green,12956,0.0004,0.8948
WWI LCD24W X300 White,12897,0.0004,0.8952
WWI Screen 106in M1609 Black,12893,0.0004,0.8955
Proseware Mobile Receipt and Document Scanner M200 Black,12885,0.0004,0.8959
A. Datum SLR-like Digital Camera M400 Silver,12871,0.0004,0.8962
WWI LCD17W E200 Black,12850,0.0004,0.8966
WWI Screen 113in M1610 Black,12825,0.0004,0.897
"Adventure Works 32"" LCD HDTV M130 Black",12810,0.0004,0.8973
"Proseware Color Ink Jet Fax, Copier, Phone M250 Grey",12796,0.0004,0.8977
A. Datum Ultra Compact Digital Camera M190 Black,12778,0.0004,0.898
Contoso DVD 12-Inch Player Portable M400 White,12776,0.0004,0.8984
SV 80GB USB2.0 Portable Hard Disk E500 Silver,12767,0.0004,0.8988
WWI 1GB Pulse Smart pen E50 White,12707,0.0004,0.8991
Contoso Finger Touch Screen Phones M30 Black,12702,0.0004,0.8995
A. Datum SLR Camera X139 Gold,12657,0.0004,0.8998
"Contoso SLR Camera 35"" M358 Black",12586,0.0004,0.9002
Fabrikam SLR Camera M149 Blue,12569,0.0004,0.9005
Contoso DVD Recorder L240 Gold,12543,0.0004,0.9009
Adventure Works Laptop8.9 E0890 White,12521,0.0004,0.9012
